Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
Nisrinaaja0603, 25 - 29,"Combination, Medium, Warm",Nisrinaaja0603 recommends this product!,1 month - 3 months,Whatsapp,Nu Skin,NaPCA Moisture Mist,4.1,386,"Bagus lho face mist iniiiii..bikin wajah lembab seharian. Gak cuma buat wajah, tapi buat kepala dan badan pun boleh boleh aja. Ada kandungan hyaluronic acid dan fermentasi kedelai yang bikin kulit lembab dan mengunci kelembaban kulittt. So try this! Murah dan isinya bua ... "
Tisacaddea, 19 - 24,"Oily, Medium Light, Neutral",Tisacaddea recommends this product!,1 month - 3 months,Shopee,JF Sulfur,Anti Acne Gel,3.6,93,"Harganya murah 15rb an. gel bening dg bau sulfur tapi ga nyengat. masih aman kecium. untuk jerawat mendem, dia kempesinnya lama sih di aku. sekitar 4 harian dan aku pakainya 3x sehari. kalo untuk jerawat yg ada matanya dia cepet bikin mateng dan cepet bikin kering, dua  ... "
nadiantsy,18 and Under,,nadiantsy recommends this product!,1 month - 3 months,Shopee,Studio Tropik,Herbitus Skin Tonic,4.6,56,"sumpah gangerti lagi secinta itu sama toner ini 🥺 bisa dibilang toner ini ngebantu banget muka aku yang lagi breakout. aku pake sekitar sebulanan dan emg dia tuh bikin jerawat cepet sembuh dan ngeredain banget redness dimuka, yang paling aku suka juga dia ngelembabin b ... "
Firna_yasmin,18 and Under,,Firna_yasmin recommends this product!,Less than 1 week,FD Flash Sale,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,497,"pertama kali coba pakai sunscreen dari Azarine bener bener bangus banget , walaupun harganya murah tapi kualitas produknya ga main main 😭 walaupun dia teksturnya gel tapi ga lengket sama sekali , jadi jatuh cinta sama produknya Azarine ❤️🥰"
Dasri92,25 - 29,,Dasri92 recommends this product!,1 week - 1 month,Shopee,Ertos,Dark Spot Treatment Concentrate,4.2,18,"Jujur aja di aq serum ini belum terlalu memberikan efek, msh jauh dari ekspektasi. Aq uda pake hampir 1 botol dalam 1 bln lebih. Secara over all kulit wajah aq lebih putih sich, tp yg bintik2 itamnya itu blm berkurang lho 😌.. tp wlo pun kayak gtu aq msh mw nyoba sampe  ... "
weniintanr, 30 - 34,"Combination, Medium, Warm",weniintanr recommends this product!,6 months - 1 year,Shopee,Fanbo,All in One Deep Cleansing Balm,4,64,"Sebenernya keracunan ini karena review dari beauty vlogger, yang akhirnya nyoba dan ternyata cocok juga. Awal pakai ini ngga terlalu suka sama baunya aja, tapi lama kelamaan ngga masalah dan emang bagus buat membersihkan make up dan double cleansing"
Batarigr, 19 - 24,"Normal, Medium, Warm",Batarigr recommends this product!,More than 1 year,Guardian,Garnier,Micellar Oil-Infused Cleansing Water,4.3,4124,"Ini micellar water kedua aku, awalnya aku pake loreal tp harganya lumayan pricey buat aku, terus kata orang2 micellar water garnier tuh mirip sama loreal tp lebih affordable, jadi aku awalnya coba yang varian biru sama pink, itu juga udah bagus, pas coba yang varian ini ... "
weniintanr, 30 - 34,"Combination, Medium, Warm",weniintanr recommends this product!,6 months - 1 year,Shopee,Pond's,Age Miracle Whip,4.2,105,"Sebenernya suka banget sama produk ini, tekstur sama wanginya juga enak dan pas dipakai bikin lembab. Cuma kalau di pakai malam hari, besok paginya di bagian hidung agak berminyak meskipun ngga banyak tapi sejauh ini masih suka sama pelembabnya"
Batarigr, 19 - 24,"Normal, Medium, Warm",Batarigr recommends this product!,More than 1 year,Guardian,Vaseline,Repairing Jelly (Pure Petroleum Jelly),4.5,12065,"Ini bagus banget si di aku!! Aku sering jadiin dia lipbalm, aku pakai produk ini kalau bibir aku kering bgt, dan suka aku bawa tidurr, pagi paginya bibir aku udah nggak kering lagii, dan ini juga bagus buat kulit kering kayak dagu, lutut, dll. Aku juga suka pake produk  ... "
Veerke, 25 - 29,"Combination, Medium, Warm",Veerke recommends this product!,6 months - 1 year,Brand website,Carl & Claire,Eau de Parfum,4.7,35,"I can see why a lot of people like this but this is not for me. Base-nya masih white floral tapi dengan hint fruity fresh di top notes-nya. Konon katanya mirip sama J* Mal*ne yang British Pear. Memang wangi fruity-nya itu kayak crisp apple/pear gitu, and the first time  ... "
Chenayang,19 - 24,,Chenayang recommends this product!,Less than 1 week,Alfamart,Garnier,Serum Mask Sakura White,4.2,1096,"Waw aku baru sekali pakai ini si, awalnya emg pengen coba2 aja. Setelah pemakaian wajah aku berasa lebih segar, lembab, dan kencang gitu hehehe. Ngga ada reaksi negatif sih sampai saat ini. Wah banget."
violadena, 25 - 29,"Dry, Medium Light, Neutral",violadena recommends this product!,3 months - 6 months,Tokopedia,Jarte Beauty,Bye Bye Acne,4.4,56,"Namanya skincare cocok-cocokan sih ya, si A ngaruh bgt belum tentu si B juga ngaruh. Nah kebetulan aku yg si B nih, jerawat aku tuh yg beneran parah gt, gaada isi putih cm radang kalaupun pecah isinya air dan darah. Bikin kering iya (bagian luar) tapi kempesnya lama, be ... "
skolastikaingee, 19 - 24,"Normal, Medium, Neutral",skolastikaingee recommends this product!,3 months - 6 months,Shopee,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,496,"sunscreennya bagus banget sih, gak pernah absen untuk beli ini dari awal pake asli, jaxi ketagihan mulu hehe, senangnyaa😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🙄🙄❤️🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄"
Dasri92,25 - 29,,Dasri92 recommends this product!,1 week - 1 month,Shopee,Ertos,Pore Minimizer Serum,4.2,61,"Di aku serum ini lumayan sich ya tp lebih ke melembabkan dan bikin halus, aq udah pake sebulan lebih, dan serumnya masih ckuplah sampe 2 bulanyah, tp klo mw beli lagi kayaknya ngga dulu deh..mau nyobain yg ngilangin kerutan.Tp buat yg kulitnya kering dan kasar bagus sic ... "
weniintanr, 30 - 34,"Combination, Medium, Warm",weniintanr recommends this product!,More than 1 year,Shopee,Garnier,Micellar Oil-Infused Cleansing Water,4.3,4123,"Diantara seri yang lain, memang yang ini paling cocok buat membersihkan make up yang susah di hapus dan ngga bikin perih di mata juga. Mungkin karena ada oilnya jadi lebih enak pas hapus make up waterproof, di tambah suka sama baunya"
faniandrianni, 19 - 24,"Dry, Medium Light, Neutral",faniandrianni recommends this product!,1 week - 1 month,Instagram,Whitelab,Acne Cream,5,698,"supee duper recomended ,karna ini bikin jerawat cepet banget keringg dan jugaa buat cepet kempes ,tiap ak jerawat gede pake ini besoknya langsung kering dan jg kempes , buat yg cari spot treatmentt bisa banget coba ini"
violadena, 25 - 29,"Dry, Medium Light, Neutral",violadena recommends this product!,6 months - 1 year,Tokopedia,ESQA,Midnight Affair,4.9,16,"Warnanya cakep-cakep, bisa untuk daily yet untuk glamour makeup juga bisa. Pigmentasinya kacau parah, kadang yg shimmer blink blink gt kan kudu kasih primer blablabla biar keluar, ini tanpa primer pun sudah keluar bgt warnanya! Minus dari produk ini falloutnya lumayan b ... "
weniintanr, 30 - 34,"Combination, Medium, Warm",weniintanr recommends this product!,More than 1 year,Lazada,Pond's,Magic Powder BB,4,3092,"Ini bedak tabur paling favorit banget, ketika di pakai warnanya pas sama kulit wajah. Yang biasanya lipatan di bawah mata itu nge crack, pakai bedak ini mulus banget dan berasa ga habis habis meskipun dipakai tiap hari hehe"
Kulsumsuparman, 19 - 24,"Combination, Medium, Neutral",Kulsumsuparman recommends this product!,More than 1 year,ms glow,MS Glow,Whitening Day Cream,3.8,146,"aku udah makek produk ms glow tapi kulit aku tetep berjerawat, aku udah makek 1 tahun lebih tapi kadang jerawat itu muncul. agak kusam tapi gk terlalu. overall aku suka cuma efeknya masih kurang di aku. Masih setia pakai ms glow karena belum dapat produk yang rekomended ... "
nabilagestt, 19 - 24,"Dry, Medium Dark, Neutral",nabilagestt recommends this product!,6 months - 1 year,Lazada,Imju Naturie,Hatomugi Skin Conditioner,4.2,2789,"hatomugi ini termasuk hydra toner yg enak untuk dipake sih, fresh nya juga berasa, tapi menurutku nyerap nya butuh waktu, jadi untuk aku yang suka layering toner hal ini bikin agak lama untuk ke step selanjutnya. after feels nya dia ga lengket samsek dan bisa menghidras ... "
ghazinena, 25 - 29,"Dry, Medium Light, Neutral",ghazinena recommends this product!,6 months - 1 year,Shopee,Etude House,Soon Jung Ph 5.5 Relief Toner,4.2,50,"karena emang kulitku dry-sensitive jadi cari-cari hydrating toner yang mild dan gentle di kulit. akhirnya nyoba pakai toner soon jung ini. package nya sederhana, tembus pandang gitu. teksturnya juga cair bener-bener kayak air, no fragrance no alcohol, dan menghidrasi ku ... "
noyexd,19 - 24,,noyexd recommends this product!,1 week - 1 month,Beauty Studio,d'Alba,White Truffle First Spray Serum,4.9,94,"Teman saya kasih saya ini sebagai hadiah dan bilang saya pasti akan suka ini, jadi saya menulis review ini soalnya emang sebagus itu. Pertama-tama, kekuatan semprotannya sangat bagus, lembut banget, bukan spray yang mukul muka gitu. Pas di spray ke muka rata gitu jatuhn ... "
Nurchna, 25 - 29,"Oily, Medium Light, Neutral",Nurchna doesn't recommend this product!,1 week - 1 month,Transmart,Himalaya,Purifying Neem Mask,4.2,6014,aku pake ini hanya sebulan. aku kira bakal suka sama produk ini tapi ternyata biasa aja. wajah aku jadi licin dan keset. ga bikin kulit kering. tapi aku ga suka karena busanya dikit huhu. tapi so far ga menimpulkan efek yg berbahaya.
mutaaami, 19 - 24,"Combination, Medium Light, Neutral",mutaaami doesn't recommend this product!,3 months - 6 months,Shopee,L'Oreal Paris,Revitalift Crystal Micro Essence,4.3,1414,"pertama kali nyobain essence dan waktu beli blm terlalu ngeh sama ingredients. waktu awal2 make yg aku rasain adalah pori2 aku lebih bersih, kayak gada komedo yg kerasa pas dipegang. tapi semakin kesini udah gak ngefek ke komedo ku lagi. ngelembabin nya juga biasa aja.  ... "
violinvinie, 19 - 24,"Normal, Medium Light, Neutral",violinvinie recommends this product!,1 month - 3 months,Shopee,Senka,Perfect Whip Facial Foam,4,4323,"Senka ini hype banget ya sekitar tahun 2018. Aku pake ini cukup oke di mukaku rasanya lembab tapi keset(?) busanya banyaaakkk bangett wkwk enak sih dia cuma tubenya gede banget, ada sih yg kecil tapi aku beli yg gede. Untuk harga 60an ini worth sih karena ga abis abis!  ... "
indahnarita, 30 - 34,"Dry, Medium Light, Warm",indahnarita recommends this product!,1 week - 1 month,Alfamart,Morris,Morris Tropical Romance 110ml,4.5,25,"Gara keracunan temen kantor akhirnya beli ini. wanginya manis enk bgt. Pake ini emg tahan seharian gak nyangka jga sih awal nyobain yg temen gak tau nya ini wangi emg tahan, dengan harga yg sangat terjangkau. dan gampang dicari ini termasuk parfume yg patut di perhitung ... "
uniimala, 30 - 34,"Combination, Medium Light, Neutral",uniimala recommends this product!,1 week - 1 month,FD Try and Review,Citra,Cocoa Gentle Face Scrub,4.4,28,"Pas dengan namanya Gentle Face Scrub ini cukup nyaman digunakan karena partikel scrubnya terbilang kecil dan tidak membuat kulit jadi iritasi. Teksturnya light, aroma cocoanya harum banget namun nggak ganggu serta mudah dibilas. Efeknya kulit lebih bersih, terasa halus  ... "
anieztnurwalidah, 25 - 29,"Normal, Medium, Warm",anieztnurwalidah recommends this product!,3 months - 6 months,Brand website,NIVEA,Micellair Skin Breathe Xpert Makeup Remover Micellar Water,4.3,1186,"aromanya kurang suka, gimana gitu. untuk tekstur cair tetapi pas dipake meninggalkan bekas minyak diwajah. jadi perlu cuci muka setelah memakai micellar satu ini. ditoko kosmetik banyak dijumpai jadi mudah untuk membeli. harga lumayan dikantong."
nadyarthamevia, 19 - 24,"Oily, Medium Light, Neutral",nadyarthamevia recommends this product!,Less than 1 week,FD Try and Review,Erha ,Acneact Acne Back Spray,4.4,137,"ini bagus! aku kebetulan banget ada beberapa backne, jadi aku pake setiap setelah mandi. enak banget ada efek coolingnya😆😆 tapi waktu pertama kali pake agak tingling di akuu tapi selanjutnya engga. untuk backne nya bener2 hilang sih belum yaa karena butuh waktu juga,  ... "
violinvinie, 19 - 24,"Normal, Medium Light, Neutral",violinvinie recommends this product!,6 months - 1 year,Shopee,Viva Cosmetics,Milk Cleanser,4,3534,"Buat yang pengen mukanya bersih dan titak sensitif tapi low budget, ini alternatif yang oke. Harganya 6-8ribuan aja bisa buat ngebersihin mukamu dengan cukup bersih loh apalagi pake face tonicnya. Teksturnya kental berwana putih dan harum. Tapi hati hati yaa pas dipake  ... "
widinovelladesti, 19 - 24,"Combination, Medium, Warm",widinovelladesti recommends this product!,1 week - 1 month,PR Package,Acnoc,Acneser Spot Gel,4,188,"Teksturnya gel, ada baunya sedikit tpi ngga mengganggu. Cepat menyerap ke kulit dan pas dipake ngga bikin perih. Claimny bisa meredakan jerawat dalam 4 jam, tapi di aku butuh 2-3 hari sampe jerawat bener-bener kempes dan rata sama kulit"
violinvinie, 19 - 24,"Normal, Medium Light, Neutral",violinvinie recommends this product!,More than 1 year,Shopee,Selection,Facial Cotton,4.7,5528,"It just a cotton pad but I used this for years! Hahaha. Aku suka kapas ini karena lembut dan bagus aja buat ngebersihin makeup dan buat pake toner yang teksturnya watery, tapii suka aku belah 2 biar ga nyerep semua di kapasnya hehehe but I like this product"
indirabt, 19 - 24,"Combination, Medium, Neutral",indirabt recommends this product!,1 week - 1 month,Brand website,d'Alba,White Truffle First Spray Serum,4.9,93,"Kulit saya sangat sensitif dan tend untuk jerawatan kalua salah pakai produk, tapi untungnya serum d'alba ini cocok dengan kulit saya!! tidak ada rangsangan apapun yg buruk ke kulit saya & meskipun ada oilnya, tidak menyumbat pori-pori juga"
weniintanr, 30 - 34,"Combination, Medium, Warm",weniintanr recommends this product!,More than 1 year,Shopee,Viva Cosmetics,Face Tonic,3.9,1191,"Selalu pakai ini setelah milk cleansernya, ngga bikin break out atau yang aneh aneh di wajah dan malah bikin muka fresh rasanya. Pemakaian nya pakai kapas dan di tuang secukupnya, lalu usap ke wajah perlahan"
Fitriayden, 35 - 39,"Normal, Light, Neutral",Fitriayden doesn't recommend this product!,Less than 1 week,toko kosmetik,Fair & Lovely,BB Cream,3.3,58,"waktu itu beli ini karna ini vindy bilang ini tu bagus...kemasannya kecil mini gitu,wanginya ada tp ganggu ,teksturnya cream ringan...aku coba pake susah banget blendingnyaa,bahkan nggak bisa nyatu ke kulit..nggak tau kenapa pdhl kulitku normal dan nggak pernah masalah  ... "
nabilagestt, 19 - 24,"Dry, Medium Dark, Neutral",nabilagestt recommends this product!,6 months - 1 year,Shopee,iUNIK,Propolis Vitamin Synergy Serum,4.1,628,"serum ter-favourit aku sejauh ini. iunik propolis ini tuh bener bener bikin muka aku lembab, bikin warna kulit aku tuh mulai merata, dan bagus juga untuk Fungal Acne. tekstur nya tuh enak banget, dia ga kental dan ga cair juga, pertengahan lah ya. jadi emang nyaman bang ... "
glenoni, 19 - 24,"Combination, Medium Light, Neutral",glenoni recommends this product!,Less than 1 week,Shopee,Azarine Cosmetics,Anti Acne & Brightening Serum,4.8,286,"Baru pertama kali coba udah cinta bgt karena teksturnya yang cepet meresap ke kulit dan ga berbau jadi nyaman bgt dipakenya! Baru 3 hari pake udah langsung claming jerawat dan mudarin bekas bgt, super duper rekomen deh pokoknya. Harganya juga affordable dan gampang dibe ... "
Rike_Krisnalia,19 - 24,,Rike_Krisnalia recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Bright & Clear,4.9,624,"Seneng banget bisa menjadi salah satu yg beruntung untuk mencoba produk terbaru dr loreal paris .. produknya sangat bagus, seketika kulitku mencadi cerah & halus... wanginya jg enak aku suka...
Pkoknya aku pasti akan merekomendasikan produk ini kpd teman"" ku...
 ... "
weniintanr, 30 - 34,"Combination, Medium, Warm",weniintanr recommends this product!,More than 1 year,Shopee,Viva Cosmetics,Milk Cleanser,4,3535,"Milk cleanser kecintaan banget sih ini, cocok banget di muka ngga bikin break out atau cenat cenut atau jerawatan. Untuk sehari-hari kalau ngga pake make up di rumah, ini enak banget dan bikin bersih."
farhaniriskas, 19 - 24,"Oily, Medium, Neutral",farhaniriskas doesn't recommend this product!,1 month - 3 months,Traditional market,Clean And Clear,Oil Control Toner,3.4,896,"pake sekali dan engga repurchase lagi karena bau alkoholnya nyengat banget jadi kurang suka, walaupun untuk oily mayan nahan minyak tapi bau alkoholnya terlalu nyengat, untuk kulit sensitif tidak direkomendasikan."
erikanii, 19 - 24,"Combination, Medium Light, Neutral",erikanii recommends this product!,3 months - 6 months,Gift,Himalaya,Purifying Neem Mask,4.2,6013,Aku pake ini dikasih sama kakak aku. Cepet meresap setelah diaplikasikan tapi ada sensasi perih perih gitu. karena waktu aku pake dulu muka ku lagi berjerawat terus produk ini kaya ninggalin efek kering dimuka. Tapi overalls bagus soalnya bisa cepet ngempesin jerawatnya ... 
